protocol,src_ip,dst_ip,src_port,dst_port,label
tcp,10.64.255.161,179.246.175.214,6955,67,normal
icmp,29.125.148.141,85.15.248.61,0,0,normal
tcp,172.21.89.103,10.223.184.116,15040,25,normal
tcp,172.18.48.39,172.21.174.234,57629,21,malicious
icmp,172.21.201.38,97.11.209.9,0,0,normal
udp,172.25.25.198,172.24.239.50,56010,53897,normal
icmp,192.168.172.194,192.168.76.7,0,0,normal
icmp,192.168.201.100,228.223.156.86,0,0,normal
tcp,172.21.109.156,192.168.254.151,43271,8888,normal
icmp,135.7.117.10,192.168.45.197,0,0,normal
tcp,10.141.47.65,172.25.200.167,23869,0,malicious
icmp,10.95.125.212,209.39.169.23,0,0,normal
tcp,26.157.72.78,192.168.76.170,65084,46275,normal
icmp,192.168.219.93,172.18.143.89,0,0,normal
udp,172.22.252.231,10.142.242.113,11234,28609,normal
udp,172.17.219.46,192.168.32.234,49778,9000,normal
udp,143.51.65.127,10.70.93.94,64466,5001,normal
icmp,192.168.215.217,10.128.50.82,0,0,normal
icmp,172.21.160.53,192.168.30.212,0,0,normal
icmp,192.168.150.183,192.168.219.33,0,0,normal
tcp,70.2.134.125,227.146.162.182,12453,67,normal
udp,10.178.47.39,10.240.86.237,56641,25,normal
tcp,10.232.9.62,25.191.138.47,21304,993,normal
tcp,45.83.64.1,172.21.188.255,24052,1051,malicious
udp,192.168.74.124,172.16.76.124,4587,587,normal
tcp,192.168.112.237,172.27.221.222,51189,445,malicious
icmp,192.168.31.158,10.243.146.14,0,0,normal
icmp,116.16.234.180,248.129.232.243,0,0,normal
tcp,172.17.182.155,192.168.90.80,33456,5119,normal
tcp,181.167.84.42,192.168.1.111,64341,19,malicious
tcp,10.240.117.235,172.24.218.149,25263,68,normal
udp,172.18.229.83,172.18.80.67,36682,143,normal
tcp,10.186.38.8,172.16.173.2,27677,9000,normal
icmp,172.18.13.227,40.86.2.154,0,0,normal
udp,10.196.189.53,180.19.137.157,14242,587,normal
udp,46.75.141.245,1.226.190.77,64204,80,normal
icmp,10.141.0.53,149.136.46.4,0,0,malicious
tcp,192.168.76.74,12.90.125.197,1835,8888,normal
tcp,192.168.82.75,192.168.100.226,46351,993,normal
tcp,192.168.175.9,41.194.129.44,14015,25427,normal
tcp,219.159.160.112,192.168.211.212,10598,25,normal
icmp,10.109.81.107,10.130.5.36,0,0,normal
tcp,10.189.229.34,192.168.136.38,4481,993,normal
udp,10.91.99.149,87.189.56.174,13779,12232,normal
tcp,172.31.241.72,172.26.128.195,29562,143,normal
udp,192.168.233.225,162.60.65.148,53001,8295,normal
tcp,112.107.116.112,26.2.241.22,59883,39273,normal
udp,172.22.244.9,10.150.94.160,61334,59693,normal
tcp,192.168.123.224,98.54.73.153,22162,10977,normal
udp,134.2.239.55,192.168.37.200,62256,80,normal
udp,45.83.64.1,10.202.126.209,42879,40446,malicious
tcp,192.168.189.179,172.25.171.228,50571,135,malicious
tcp,39.86.4.146,192.168.66.98,11244,143,normal
icmp,243.219.133.13,172.26.201.7,0,0,normal
icmp,10.196.134.66,172.23.197.105,0,0,normal
udp,172.25.16.97,10.112.61.206,36855,443,normal
udp,192.168.24.4,10.2.101.194,60046,58844,normal
tcp,94.73.40.9,10.15.45.196,25416,5000,normal
tcp,42.159.255.50,192.168.105.101,48632,143,normal
udp,16.82.196.139,192.168.4.223,11461,67,normal
tcp,10.213.32.128,101.216.51.1,19146,8888,normal
icmp,93.33.53.190,3.220.127.204,0,0,normal
tcp,215.198.101.64,10.153.90.161,57428,13140,normal
icmp,172.29.74.205,172.25.255.109,0,0,normal
icmp,3.47.154.213,192.168.196.42,0,0,normal
udp,10.131.250.215,9.153.184.69,47168,161,malicious
icmp,172.27.248.112,194.94.167.215,0,0,normal
