src_ip,dst_ip,src_port,dst_port,protocol,payload_hex,label
142.250.176.4,192.168.50.11,443,59962,6,,0
52.53.191.192,192.168.50.11,443,50774,6,,0
172.217.14.110,192.168.50.11,443,49346,17,439f9c284b5e152ab41562aa29ba4c7d8c77d68822d87b6b28f48d9a127a,0
192.168.50.11,131.153.13.100,47288,443,6,17030301378dc849888971fd29d232dfee9ac2a34bb4d7d4a1339c365bdf3f5ff205b36d84a9603047cd7596b661c4695da29862b2aa28f85498379f9b00d8001705db35f179d60598116b454d50576e7a33c9a4eb7a6454fb76b708cda637c478e0311ff8f140345890966ba5e7bbf5eaa2f46a4005a5b50679697ebd9e4ca7,0
192.168.50.11,67.202.105.22,57916,443,6,,0
172.64.41.4,192.168.50.11,443,44258,6,17030301eeee3f279fa21ad0022db5aa98a9a66d1d0ea72a4a9eb17f30074698636e5ddfaeeb6bc20f607f8948a73a7995d31d0fed2dabba2bf7c79078b94506793ca65eb087f59262115fe97e4ca85725e1220c2133eccb27fbb652623297c0167ce899b2bff59ce858fb53dc56ca93e9884d46987ba5052f483492b2dabf34,0
20.33.69.37,192.168.50.11,443,47566,6,160303007a020000760303bf7d95e42f8e22bf6677d78d498b7e1381d57dfa31d723f171962c7decf0b9a220a6ec68ffe1023284acdeaf938bdfd83c94357ae4ea59bb1bc462d129aed54da1130200002e002b0002030400330024001d0020180799448b6d816de2cd3b50d73390807e837016d2674ac85159ac5ab2d4e47b14,0
192.168.50.11,172.64.41.4,44258,443,6,17030300338fe1b4ce566ea74385ffe987111d3595f00bc069cdb737b922e85c62b69f12841484fbf9460ab89174998c0e2d6c9b2ba2292e,0
172.64.41.4,192.168.50.11,443,40972,6,170303003384a6cc1befba3fa51f9bb97ab4cfd96f8135765c29cdd6a6eefb79085751f8c8e67b90f98368784ab30e8e732b1fec4ed8db68,0
192.168.50.11,23.55.219.177,37942,80,6,504f5354202f20485454502f312e310d0a486f73743a206f6373702e64696769636572742e636f6d0d0a557365722d4167656e743a204d6f7a696c6c612f352e3020285831313b205562756e74753b204c696e7578207838365f36343b2072763a3133342e3029204765636b6f2f32303130303130312046697265666f782f31,0
192.168.50.11,172.64.41.4,44258,443,6,170303009a2d6769d749531467ba35592437cff9e0bcd8364994b85b4512aabd3c68e927672eb30c1722e1c1cd179ff082b7b3572c39731a7136ed8d3e13d8e2d4e8a4853faae19bbdcf4c66df83573286ece348cac3f1018da1da7d8a3618f2293b334c787b961452f346fc0f7c5202b1fb55116166b35b947ff88f9025a11b,0
192.168.50.11,15.197.193.217,51564,443,6,,0
35.244.159.8,192.168.50.11,443,59716,6,170303001a4634fa665077f1728dbcb344a0dc1947e0961b52d69499e0b55b,0
150.171.28.10,192.168.50.11,443,33988,6,000000000000,0
172.64.41.4,192.168.50.11,443,55472,6,1703030033402e7630d6097d3365a08237c038cd994c93cf646d0078f9c0b9c422414a2810a261330038f047adb448421fceedec9812c93d,0
192.168.50.11,69.173.154.5,33316,443,6,,0
192.168.50.11,172.64.149.23,36486,80,6,,0
